File: p13_cgo_harness.test
Build ID: 709cbead639fc959c0bd4df7626fce7f43dbcbca
Type: cpu
Time: 2026-08-21 14:23:09 PDT
Duration: 1.71s, Total samples = 1.42s (82.95%)
Showing nodes accounting for 1.42s, 100% of 1.42s total
      flat  flat%   sum%        cum   cum%
         0     0%   100%      0.01s   0.7%  github.com/odvcencio/gotreesitter.computeStackEntryErrorRank
         0     0%   100%      0.01s   0.7%  github.com/odvcencio/gotreesitter.dispatcherArmSubpassCensus
         0     0%   100%      0.01s   0.7%  github.com/odvcencio/gotreesitter.flattenedFieldTargetEligible (inline)
         0     0%   100%      0.01s   0.7%  github.com/odvcencio/gotreesitter.gssMainMergeWithScratch
         0     0%   100%      0.04s  2.82%  github.com/odvcencio/gotreesitter.gssMaterializingShapePrefix
         0     0%   100%      0.01s   0.7%  github.com/odvcencio/gotreesitter.gssNodeCleanZeroErrorAllLinksWithScratch
         0     0%   100%      0.04s  2.82%  github.com/odvcencio/gotreesitter.gssStacksHaveDistinctMaterializingShapesWithScratch
         0     0%   100%      0.01s   0.7%  github.com/odvcencio/gotreesitter.materializationSubpassCensus.run
         0     0%   100%      0.03s  2.11%  github.com/odvcencio/gotreesitter.materializeReduceChildrenFromScratch
         0     0%   100%      0.01s   0.7%  github.com/odvcencio/gotreesitter.materializingShapeEntryHashWithScratch
         0     0%   100%      0.01s   0.7%  github.com/odvcencio/gotreesitter.normalizeGoCompatibilityInRangesWithParser
         0     0%   100%      0.01s   0.7%  github.com/odvcencio/gotreesitter.normalizeGoCompatibilityInRangesWithStopAndScratch
         0     0%   100%      0.01s   0.7%  github.com/odvcencio/gotreesitter.normalizeGoCompatibilitySubtreeWithStopAndScratch
         0     0%   100%      0.01s   0.7%  github.com/odvcencio/gotreesitter.normalizeGoReturnedTreeCompatibilityWithCensus
         0     0%   100%      0.01s   0.7%  github.com/odvcencio/gotreesitter.normalizeGoReturnedTreeCompatibilityWithCensus.func2
         0     0%   100%      0.02s  1.41%  github.com/odvcencio/gotreesitter.normalizeResultCompatibility (inline)
         0     0%   100%      0.33s 23.24%  github.com/odvcencio/gotreesitter.rawShapeChild.entry (inline)
         0     0%   100%      0.01s   0.7%  github.com/odvcencio/gotreesitter.runLanguageResultCompatibility
