File: p13_cgo_harness.test
Build ID: 709cbead639fc959c0bd4df7626fce7f43dbcbca
Type: cpu
Time: 2026-08-21 14:22:49 PDT
Duration: 2.01s, Total samples = 520ms (25.91%)
Showing nodes accounting for 520ms, 100% of 520ms total
      flat  flat%   sum%        cum   cum%
      10ms  1.92% 75.00%       10ms  1.92%  github.com/odvcencio/gotreesitter.(*Parser).updateParserStateTokenSource
         0     0% 75.00%       10ms  1.92%  github.com/odvcencio/gotreesitter.(*dfaTokenSource).glrUnionScanForState
         0     0% 75.00%       10ms  1.92%  github.com/odvcencio/gotreesitter.(*dfaTokenSource).nextExternalToken
      10ms  1.92% 76.92%       10ms  1.92%  github.com/odvcencio/gotreesitter.(*dfaTokenSource).nextGLRScoredExternalToken
         0     0% 76.92%       10ms  1.92%  github.com/odvcencio/gotreesitter.(*dfaTokenSource).nextGLRUnionDFAToken
         0     0% 76.92%       10ms  1.92%  github.com/odvcencio/gotreesitter.(*glrStack).push (inline)
      10ms  1.92% 78.85%       10ms  1.92%  github.com/odvcencio/gotreesitter.(*glrStack).pushEntry
      10ms  1.92% 80.77%       10ms  1.92%  github.com/odvcencio/gotreesitter.(*nodeArena).recordReduceChildSliceScratchNoAlias (inline)
         0     0% 80.77%       10ms  1.92%  github.com/odvcencio/gotreesitter.(*reduceBuildScratch).reset (inline)
      10ms  1.92% 82.69%       10ms  1.92%  github.com/odvcencio/gotreesitter.appendFlattenedHiddenChildrenWithFieldScratch
      10ms  1.92% 84.62%       10ms  1.92%  github.com/odvcencio/gotreesitter.cNodeErrorCostLangWithScratch
         0     0% 84.62%       10ms  1.92%  github.com/odvcencio/gotreesitter.cStackErrorCostForMergeWithScratch
      10ms  1.92% 86.54%       10ms  1.92%  github.com/odvcencio/gotreesitter.fieldIDSliceHasAny (inline)
         0     0% 86.54%       10ms  1.92%  github.com/odvcencio/gotreesitter.markReduceFragility
      10ms  1.92% 88.46%       10ms  1.92%  github.com/odvcencio/gotreesitter.nodeChildEntryAtNoMaterialize
         0     0% 88.46%       10ms  1.92%  github.com/odvcencio/gotreesitter.rawShapeChild.entry (inline)
      10ms  1.92% 90.38%       10ms  1.92%  github.com/odvcencio/gotreesitter.shouldUseRawSpanForReduction (inline)
         0     0% 90.38%       10ms  1.92%  github.com/odvcencio/gotreesitter.stackEntryAliasChild
      10ms  1.92% 92.31%       10ms  1.92%  github.com/odvcencio/gotreesitter.stackEntryNodeParseState
         0     0% 92.31%       10ms  1.92%  github.com/odvcencio/gotreesitter.stackEquivalentForMergeState
      10ms  1.92% 94.23%       10ms  1.92%  github.com/odvcencio/gotreesitter.symbolStructuralForHiddenFlattening (inline)
         0     0% 94.23%       10ms  1.92%  github.com/odvcencio/gotreesitter.symbolVisibleForPending (inline)
      10ms  1.92% 96.15%       10ms  1.92%  runtime.asyncPreempt
         0     0% 96.15%       10ms  1.92%  runtime.deductAssistCredit
      10ms  1.92% 98.08%       10ms  1.92%  runtime.duffzero
         0     0% 98.08%       10ms  1.92%  runtime.gcAssistAlloc
         0     0% 98.08%       10ms  1.92%  runtime.gcAssistAlloc.func2
         0     0% 98.08%       10ms  1.92%  runtime.gcAssistAlloc1
         0     0% 98.08%       10ms  1.92%  runtime.gcDrainN
         0     0% 98.08%       10ms  1.92%  runtime.wbMove
      10ms  1.92%   100%       10ms  1.92%  time.runtimeNow
