File: p13_cgo_harness.test
Build ID: 709cbead639fc959c0bd4df7626fce7f43dbcbca
Type: cpu
Time: 2026-08-21 14:22:49 PDT
Duration: 2.02s, Total samples = 570ms (28.20%)
Showing nodes accounting for 570ms, 100% of 570ms total
      flat  flat%   sum%        cum   cum%
      10ms  1.75% 82.46%       10ms  1.75%  github.com/odvcencio/gotreesitter.(*nodeArena).recordReduceChildSliceScratchGeneral (inline)
         0     0% 82.46%       10ms  1.75%  github.com/odvcencio/gotreesitter.(*nodeArena).reset
         0     0% 82.46%       10ms  1.75%  github.com/odvcencio/gotreesitter.(*nodeArena).resetPrimaryNodes (inline)
         0     0% 82.46%       10ms  1.75%  github.com/odvcencio/gotreesitter.aliasedNodeInArena
         0     0% 82.46%       10ms  1.75%  github.com/odvcencio/gotreesitter.applyFieldToFlattenedSpan
         0     0% 82.46%       10ms  1.75%  github.com/odvcencio/gotreesitter.applyParentFieldToFlattenedHiddenSpan
         0     0% 82.46%       10ms  1.75%  github.com/odvcencio/gotreesitter.captureRawShapeForEntries
         0     0% 82.46%       10ms  1.75%  github.com/odvcencio/gotreesitter.captureRawShapeForNodeSlice
      10ms  1.75% 84.21%       10ms  1.75%  github.com/odvcencio/gotreesitter.defaultFieldSourcesInArena
      10ms  1.75% 85.96%       10ms  1.75%  github.com/odvcencio/gotreesitter.flattenedSpanConflictSummary
         0     0% 85.96%       10ms  1.75%  github.com/odvcencio/gotreesitter.gssMaterializingShapePrefix
      10ms  1.75% 87.72%       10ms  1.75%  github.com/odvcencio/gotreesitter.gssNodeHash
         0     0% 87.72%       10ms  1.75%  github.com/odvcencio/gotreesitter.gssStacksHaveDistinctMaterializingShapesWithScratch
      10ms  1.75% 89.47%       10ms  1.75%  github.com/odvcencio/gotreesitter.hiddenTreeHasFieldIDs
      10ms  1.75% 91.23%       10ms  1.75%  github.com/odvcencio/gotreesitter.lookupShapePrefixCache
      10ms  1.75% 92.98%       10ms  1.75%  github.com/odvcencio/gotreesitter.stackCompareMerge
         0     0% 92.98%       10ms  1.75%  github.com/odvcencio/gotreesitter.stackMaterializingShapeHashWithScratch
         0     0% 92.98%       10ms  1.75%  github.com/odvcencio/gotreesitter.tryGSSMainMergeResult
         0     0% 92.98%       10ms  1.75%  runtime.(*gcBits).bitp (inline)
         0     0% 92.98%       10ms  1.75%  runtime.(*gcBits).bytep (inline)
         0     0% 92.98%       10ms  1.75%  runtime.(*mspan).markBitsForIndex (inline)
      10ms  1.75% 94.74%       10ms  1.75%  runtime.addb (inline)
      10ms  1.75% 96.49%       10ms  1.75%  runtime.gcWriteBarrier1
      10ms  1.75% 98.25%       10ms  1.75%  runtime.nanotime1
      10ms  1.75%   100%       10ms  1.75%  runtime.typePointers.next
